measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Cystic echinococcosis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Lymphatic filariasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Onchocerciasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Trachoma,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Dengue,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Yellow fever,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Yellow fever,Number,2015,0.0,0.0,0.0
