Country,Country name in IFs
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyz Republic,Kyrgyz Republic
Lao PDR,Lao PDR
Late-demographic dividend,Not in Ifs
Latin America & Caribbean,Not in Ifs
Latin America & Caribbean (excluding high income),Not in Ifs
Latin America & the Caribbean (IDA & IBRD countries),Not in Ifs
Latvia,Latvia
Least developed countries: UN classification,Not in Ifs
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Not in Ifs
Lithuania,Lithuania
Low & middle income,Not in Ifs
Low income,Not in Ifs
Lower middle income,Not in Ifs
Luxembourg,Luxembourg
"Macao SAR, China",Not in Ifs
"Macedonia, FYR","Macedonia, FYR"
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Not in Ifs
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts."
Middle East & North Africa,Not in Ifs
Middle East & North Africa (IDA & IBRD countries),Not in Ifs
Middle East & North Africa (excluding high income),Not in Ifs
Middle income,Not in Ifs
Moldova,Moldova
Monaco,Not in Ifs
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Not in Ifs
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,Not in Ifs
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North America,Not in Ifs
Northern Mariana Islands,Not in Ifs
Norway,Norway
OECD members,Not in Ifs
Oman,Oman
Other small states,Not in Ifs
Pacific island small states,Not in Ifs
Pakistan,Pakistan
Palau,Not in Ifs
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Post-demographic dividend,Not in Ifs
Pre-demographic dividend,Not in Ifs
Puerto Rico,Puerto Rico
Qatar,Qatar
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Samoa,Samoa
San Marino,Not in Ifs
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten (Dutch part),Not in Ifs
Slovak Republic,Slovak Republic
Slovenia,Slovenia
Small states,Not in Ifs
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Asia,Not in Ifs
South Asia (IDA & IBRD),Not in Ifs
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
St. Kitts and Nevis,Not in Ifs
St. Lucia,St. Lucia
St. Martin (French part),Not in Ifs
St. Vincent and the Grenadines,St. Vincent and the Grenadines
Sub-Saharan Africa,Not in Ifs
Sub-Saharan Africa (IDA & IBRD countries),Not in Ifs
Sub-Saharan Africa (excluding high income),Not in Ifs
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Not in Ifs
Tuvalu,Not in Ifs
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Upper middle income,Not in Ifs
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
"Venezuela, RB","Venezuela, RB"
Vietnam,Vietnam
Virgin Islands (U.S.),Not in Ifs
West Bank and Gaza,West Bank and Gaza
World,Not in Ifs
"Yemen, Rep.","Yemen, Rep."
Zambia,Zambia
Zimbabwe,Zimbabwe
